"id","id_mzcr.cz","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_apple_mobility","key_gadm","key_google_mobility","key_hasc","key_local","key_nuts","latitude","longitude","population","population_data_source","population_data_source_url"
"840130dd","CZ0205",3,"Středočeský","Kutná Hora",,"CZE.12.5_1","ChIJrT3zBeFCDEcRUKkUZg-vAAM","CZ.SK.KH","CZ0205","CZ020",49.8549423217774,15.1725410797901,73404,"Statoids (2011)","http://www.statoids.com/ycz.html"
"1d086167","CZ0206",3,"Středočeský","Melník",,"CZE.12.6_1","ChIJl1dm9FLnC0cRYKkUZg-vAAM","CZ.SK.ME","CZ0206","CZ020",50.3421897888184,14.5028425295376,104659,"Statoids (2011)","http://www.statoids.com/ycz.html"
"6a0f51f1","CZ0207",3,"Středočeský","Mladá Boleslav",,"CZE.12.7_1","ChIJq4tbupNVCUcRcKkUZg-vAAM","CZ.SK.MB","CZ0207","CZ020",50.3941764831544,14.9289868701565,123659,"Statoids (2011)","http://www.statoids.com/ycz.html"
"fab04c60","CZ0208",3,"Středočeský","Nymburk",,"CZE.12.8_1","ChIJnYgV12kFDEcRgKkUZg-vAAM","CZ.SK.NB","CZ0208","CZ020",50.1976051330567,15.086430655153,94884,"Statoids (2011)","http://www.statoids.com/ycz.html"
"8db77cf6","CZ0209",3,"Středočeský","Praha-východ",,"CZE.12.9_1","ChIJ3WW5Tw2NC0cRkKkUZg-vAAM","CZ.SK.PH","CZ0209","CZ020",50.0423183441163,14.709216558756,157146,"Statoids (2011)","http://www.statoids.com/ycz.html"
"d36985f8","CZ020A",3,"Středočeský","Praha-západ",,"CZE.12.10_1","ChIJ-ZOjQFqWC0cRoKkUZg-vAAM","CZ.SK.PZ","CZ020A","CZ020",49.9976654052735,14.2619915273023,131231,"Statoids (2011)","http://www.statoids.com/ycz.html"
"4a60d442","CZ020B",3,"Středočeský","Príbram",,"CZE.12.11_1","ChIJ7w_GEOIMC0cRsKkUZg-vAAM","CZ.SK.PB","CZ020B","CZ020",49.681776046753,14.1176484799256,112816,"Statoids (2011)","http://www.statoids.com/ycz.html"
"3d67e4d4","CZ020C",3,"Středočeský","Rakovník",,"CZE.12.12_1","ChIJNb_-5RhPCkcRwKkUZg-vAAM","CZ.SK.RA","CZ020C","CZ020",50.0947742462158,13.7073152459551,54993,"Statoids (2011)","http://www.statoids.com/ycz.html"
"2cdebb4e","CZ0422",3,"Ústecký","Chomutov",,"CZE.13.1_1","ChIJX8ITf2APCkcR8KoUZg-vAAM","CZ.UK.CV","CZ0422","CZ042",50.4273147583008,13.2885009372662,122157,"Statoids (2011)","http://www.statoids.com/ycz.html"
"b5d7eaf4","CZ0421",3,"Ústecký","Decín",,"CZE.13.2_1","ChIJD6N9WKMLCUcR4KoUZg-vAAM","CZ.UK.DC","CZ0421","CZ042",50.8493824005128,14.4149469876603,128834,"Statoids (2011)","http://www.statoids.com/ycz.html"
