"id","id_gov.co","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_gadm","key_google_mobility","key_hasc","key_jhu_csse","key_local","latitude","longitude","population","population_data_source_url","population_data_source"
"426a170d","5150",3,"Antioquia","Carolina del Principe","COL.2.31_1",,"CO.AN.CR","COANT05150","05150",6.74110102653506,-75.3332477046606,5153,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"4507d314","5154",3,"Antioquia","Caucasia","COL.2.32_1","ChIJ3a3LueJuW44RCv82AICgOJs","CO.AN.CU","COANT05154","05154",7.80274939537048,-75.0017734796021,122179,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"9e5214a3","5172",3,"Antioquia","Chigorodó","COL.2.33_1","ChIJnUcW7SUdUI4RSBLwjmmyRCA","CO.AN.CH","COANT05172","05172",7.64135050773623,-76.6385677878796,81987,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"eedf5801","5190",3,"Antioquia","Cisneros","COL.2.34_1","ChIJL1DfeRZzRI4RgXQdq1r30zo","CO.AN.CI","COANT05190","05190",6.54315137863168,-75.0998447463553,13099,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"70bbcda2","5197",3,"Antioquia","Cocorná","COL.2.35_1",,"CO.AN.CO","COANT05197","05197",5.99029994010934,-75.1475930454296,20919,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"d438f824","5206",3,"Antioquia","Concepción","COL.2.36_1",,"CO.AN.CC","COANT05206","05206",6.37624979019174,-75.2415808273247,7183,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"4487e5b5","5209",3,"Antioquia","Concordia","COL.2.37_1",,"CO.AN.CN","COANT05209","05209",6.0534999370575,-75.9305687635022,30266,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"ca4e0d7c","5212",3,"Antioquia","Copacabana","COL.2.38_1","ChIJ91xmsBQlRI4RJ7VmyoRxNOU","CO.AN.CB","COANT05212","05212",6.35640096664429,-75.5163028996548,95018,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"111bcacb","5234",3,"Antioquia","Dabeiba","COL.2.39_1","ChIJacEo-sh5RY4R0PDibf6fSZ0","CO.AN.DA","COANT05234","05234",6.94479990005499,-76.3862121665238,32521,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"88129b71","5237",3,"Antioquia","Don Matías","COL.2.40_1","ChIJr2WKnuQ-RI4Rl4awn4d38iI","CO.AN.DM","COANT05237","05237",6.48819994926456,-75.4165949620694,24486,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"59379815","5240",3,"Antioquia","Ebéjico","COL.2.41_1",,"CO.AN.EJ","COANT05240","05240",6.32224941253668,-75.7972596185877,17130,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"402ca954","5250",3,"Antioquia","El Bagre","COL.2.42_1","ChIJi0yVasStXI4RhHxoxtye5XM","CO.AN.EB","COANT05250","05250",7.75755143165591,-74.6643712830921,63751,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"55aaae7e","5148",3,"Antioquia","El Carmen de Viboral","COL.2.43_1","ChIJWVBeaoKYRo4Rh2d67iR079Q","CO.AN.CV","COANT05148","05148",5.97349953651437,-75.2697218522573,58970,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"75f4db27","5697",3,"Antioquia","El Santuario","COL.2.44_1","ChIJOWSPzBehRo4RwTLVNZFalIM",,"COANT05697","05697",6.12335062026986,-75.2662772511602,36764,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"6c6c3e8e","5264",3,"Antioquia","Entrerríos","COL.2.45_1","ChIJc3Xot9pHRI4RX5L6aA5OpiA","CO.AN.ER","COANT05264","05264",6.5868000984193,-75.5772479965511,11579,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
