"id","pop","pop_14","pop_15_64","pop_65","pop_density","pop_death_rate","pop_age"
"Georgia",3731000,0.197952406005383,0.653392679684092,0.148654914310525,65.2752020714511,0.012918,38.6
"Germany",82927922,0.136210301045356,0.649170079001335,0.214619619953309,237.3709697733,0.0113,47.8
"Ghana",29767108,0.375960615850344,0.593350404080317,0.0306889800693396,130.821429199262,0.007414,21.4
"Greece",10727668,0.140712448654023,0.642734830567542,0.216552720778435,83.2247323506594,0.0116,45.3
"Grenada",111454,0.235612898594936,0.668168033448777,0.0962190679562869,327.805882352941,0.009563,33.3
"Guatemala",17247807,0.344353953933618,0.607525320983504,0.0481207250828785,160.953779395297,0.004762,23.2
"Guinea",12414318,0.438501733445473,0.532238042069734,0.0292602244847935,50.5222122741332,0.008715,19.1
"Guinea-Bissau",1874309,0.423391522075139,0.548371314563334,0.0282371633615269,66.6539473684211,0.009805,18
"Guyana",779004,0.28214545202476,0.65335183554427,0.0645027124309697,3.95734823469647,0.007365,27.5
"Haiti",11123176,0.33242244257891,0.618083518936764,0.0494940384843253,403.59854862119,0.008638,24.1
"Honduras",9587522,0.317408815333097,0.635685008076122,0.0469061765907812,85.6870319063366,0.004428,24.4
"Hungary",9768785,0.144119922134424,0.664302824033255,0.191577253832321,107.906605545123,0.0135,43.6
"Iceland",353574,0.198323201064408,0.653725873369903,0.147950925565689,3.52692269326683,0.0065,37.1
"India",1352617328,0.270533018530221,0.667667424975064,0.0617995564947149,454.938072575247,0.00721,28.7
"Indonesia",267663435,0.265511973052634,0.675916370820079,0.0585716561272863,147.75219008926,0.006433,31.1
"Iran",81800269,0.244765586602319,0.693388675341431,0.0618457380562499,50.222420123284,0.004835,31.7
"Iraq",38433600,0.383865654011074,0.582898349360976,0.0332359966279505,88.5305700354617,0.004826,21.2
"Ireland",4853506,0.214064195870662,0.647277787116415,0.138658017012923,70.452983016403,0.0063,37.8
"Israel",8883800,0.279252464589938,0.600977675160436,0.119769860249625,410.526802218115,0.0051,30.4
"Italy",60431283,0.133291160906398,0.639192043068525,0.227516796025077,205.450747943156,0.0107,46.5
"Jamaica",2934855,0.237500966830639,0.674532607662342,0.0879664255070196,270.993074792244,0.007558,29.4
"Japan",126529100,0.126968488090205,0.597267812806245,0.27576369910355,347.073458415624,0.0108,48.6
"Jordan",9956011,0.342454902091433,0.619080193928583,0.0384649039799834,112.14249831043,0.003843,23.5
"Kazakhstan",18276499,0.284605497778393,0.641476039511304,0.0739184627103032,6.76982590658221,0.00715,31.6
"Kenya",51393010,0.397821669340692,0.578786464540153,0.0233918661191556,90.2994166637383,0.005582,20
"Korea, South",51635256,0.129733235784635,0.726081205891396,0.144185558323969,529.652103632681,0.0056,43.2
"Kuwait",4137309,0.215388880509858,0.759106395650123,0.0255047238400198,232.172222222222,0.002601,29.7
"Kyrgyzstan",6315800,0.323504171141318,0.631548549102717,0.0449472797559656,32.9290928050052,0.0054,27.3
"Laos",7061507,0.326039186819471,0.633209313536048,0.040751499644481,30.5957842287695,0.006508,24
"Latvia",1926542,0.159957769389964,0.639606027403227,0.200436203206809,30.9833065294307,0.0148,44.4
"Lebanon",6848925,0.260958671652131,0.66901764700394,0.0700236813439294,669.494134897361,0.004263,33.7
"Liberia",4818977,0.411249865894663,0.556215816108536,0.0325343179968014,50.0309073920266,0.007729,18
"Libya",6678567,0.283192377277793,0.672887220132367,0.0439204025898401,3.79563238119054,0.005099,25.8
"Liechtenstein",37910,0.16,0.69,0.15,236.9375,0.0066,43.7
"Lithuania",2789533,0.148824245055089,0.654125423380302,0.197050331564608,44.5313513780643,0.0142,44.5
"Luxembourg",607728,0.158788239869589,0.699380218288939,0.141831541841472,250.093827160494,0.0071,39.5
"Madagascar",26262368,0.406681505928286,0.563451322813798,0.0298671712579162,45.1398556204881,0.006185,20.3
"Malaysia",31528585,0.239951410860297,0.693331042884915,0.0667175462547886,95.9628214883579,0.005014,29.2
"Maldives",515696,0.201479166020291,0.761487387918464,0.0370334460612454,1718.98666666667,0.002883,29.5
"Mali",19077690,0.475434863934943,0.499492838489489,0.0250722975755683,15.635015858186,0.009984,16
"Malta",483530,0.142769005208902,0.653737751793975,0.203493242997122,1511.03125,0.0076,42.3
"Mauritania",4403319,0.400831828216618,0.567757050202881,0.0314111215805009,4.27216357815077,0.007339,21
"Mauritius",1265303,0.17793692318012,0.707321346133359,0.114741730686522,623.30197044335,0.008,36.3
"Mexico",126190788,0.265568481908521,0.662194668282759,0.0722368498087198,64.9146264050001,0.005933,29.3
"Moldova",3545883,0.158600908600909,0.726703527985579,0.114695563413512,123.51980353224,0.011528,37.7
"Monaco",38682,0.123,0.608,0.269,18721.5,0.0101,55.4
"Mongolia",3170208,0.304095683070176,0.6550689290572,0.0408353878726245,2.04060866654651,0.006299,29.8
"Montenegro",622345,0.182095191371898,0.668155442180663,0.149749366447439,46.2710037174721,0.010592,39.6
"Morocco",36029138,0.272063801328554,0.657807150460324,0.070129048211122,80.7285189334528,0.005072,29.1
"Mozambique",29495962,0.446708001531326,0.524384353894175,0.028907644574499,37.508535313716,0.008964,17
"Namibia",2448255,0.369102491891316,0.594537191301233,0.0363603168074514,2.97374558175127,0.00823,21.8
"Nepal",28087871,0.304142653217498,0.638580639025582,0.0572767077569198,195.939107080572,0.006404,25.3
"Netherlands",17231017,0.161081587098378,0.646956486568235,0.191961926333387,511.457910359157,0.0088,42.8
"New Zealand",4885500,0.196534314569849,0.64694144015841,0.156524245271741,18.5541756864532,0.00695,37.2
"Nicaragua",6465513,0.302016811999565,0.645508213516632,0.0524749744838026,53.7270483629716,0.005049,27.3
"Niger",22442948,0.499843246094453,0.474206675078562,0.0259500788269853,17.7176505881424,0.008529,14.8
"Nigeria",195874740,0.438666399781742,0.533859830164984,0.0274737700532743,215.064988965381,0.012114,18.6
"North Macedonia",2082958,0.165169996308133,0.698128189876219,0.136701813815648,82.5915146708961,0.009965,39
"Norway",5314336,0.175490383783174,0.654017394653615,0.170492221563211,14.5549195374975,0.0077,39.5
"Oman",4829483,0.222465059852286,0.753607070585134,0.0239278695625796,15.6041453957997,0.002462,26.2
"Pakistan",212215030,0.352698145995487,0.604174110891137,0.0431277431133756,275.289318700706,0.006994,22
"Panama",4176873,0.270623043241241,0.648329645962083,0.0810473107966757,56.1860774818402,0.005048,30.1
"Papua New Guinea",8606316,0.358159344007888,0.60738796347755,0.0344526925145617,19.0043633794109,0.007521,24
"Paraguay",6956071,0.294405055961229,0.641292793944163,0.0643021500946081,17.5083589227284,0.005465,29.7
"Peru",31989256,0.257906028460802,0.66121004362089,0.0808839279183076,24.99160625,0.005438,29.1
"Philippines",106651922,0.309630402017999,0.639143910299006,0.0512256876829946,357.688305329175,0.005839,24.1
"Poland",37978548,0.15052276813695,0.674299064237598,0.175178167625452,124.035886214442,0.0106,41.9
"Portugal",10281762,0.134579078221324,0.645882346402803,0.219538575375873,112.23945350807,0.0106,44.6
"Qatar",2781677,0.135407641851225,0.8508916547614,0.013700703387375,239.593195521103,0.001169,33.7
"Romania",19473936,0.155345549605626,0.661267436456077,0.183387013938296,84.6398470097357,0.0133,42.5
"Russia",144478050,0.179140805801319,0.674112110994962,0.146747083203719,8.82207955488442,0.0129,40.3
"Rwanda",12301939,0.399755730179801,0.570862309044811,0.029381960775388,498.659870287799,0.005308,19.7
"Saint Kitts and Nevis",52441,0.228,0.696,0.076,201.696153846154,0.0072,36.5
"Saint Lucia",181889,0.185288830000715,0.716645866435024,0.0980653035642617,298.17868852459,0.00716,36.9
"Saint Vincent and the Grenadines",110210,0.225413071290525,0.678689060075673,0.0958978686338024,282.589743589744,0.009162,35.3
"San Marino",33785,0.166,0.654,0.18,563.083333333333,0.0088,45.2
