"id","id_ssi.dk","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_apple_mobility","key_gadm","key_google_mobility","key_hasc","key_local","key_nuts","latitude","longitude","population","population_data_source_url","population_data_source"
,,,,,,,,,"-",,,,,,
"814fed25","Hovedstaden",2,"Hovedstaden",,"Capital Region of Denmark","DNK.1_1","ChIJb8pj4aWGU0YRUFSorMmvAAM","DK.HS","1084","DK01",55.8617878,12.3136134266885,1631635,"http://www.statoids.com/udk.html","Statoids (2005)"
"9995c4f9","Midtjylland",2,"Midtjylland",,"Central Denmark Region","DNK.2_1","ChIJdQCVe2YPTEYRMFSorMmvAAM","DK.MJ","1082","DK04",56.23555565,9.234443665,1212787,"http://www.statoids.com/udk.html","Statoids (2005)"
"ae08d86f","Nordjylland",2,"Nordjylland",,"North Denmark Region","DNK.3_1","ChIJdaEzlL4lSUYRIFSorMmvAAM","DK.ND","1081","DK05",56.81472206,9.726666455,577278,"http://www.statoids.com/udk.html","Statoids (2005)"
"f36a94cd","Sjælland",2,"Sjælland",,"Region Zealand","DNK.4_1","ChIJpZIzniqWUkYRYFSorMmvAAM","DK.SL","1085","DK02",55.48643303,11.68638897,805954,"http://www.statoids.com/udk.html","Statoids (2005)"
"b9ee791f","Syddanmark",2,"Syddanmark",,"Region of Southern Denmark","DNK.5_1","ChIJF0eXAaulTEYRQFSorMmvAAM","DK.SD","1083","DK03",55.37763786,9.13333225,1183751,"http://www.statoids.com/udk.html","Statoids (2005)"
"ceb98d57","165",3,"Hovedstaden","Albertslund",,"DNK.1.1_1","ChIJ6dCdMa5QUkYRpqn2xh7ekGc","DK.HS.AB","165","DK012",55.6760139465332,12.3513170468112,28146,"http://www.statoids.com/ydk.html","Statoids (2005)"
"9dc85091","201",3,"Hovedstaden","Allerød",,"DNK.1.2_1","ChIJO3l7jq5GUkYRTq6vfkjKV8I","DK.HS.AL","201","DK013",55.8561363220215,12.3385524995382,23458,"http://www.statoids.com/ydk.html","Statoids (2005)"
"e2f91a8d","151",3,"Hovedstaden","Ballerup",,"DNK.1.3_1","ChIJ-VzY_JJaUkYRUZT2NxFqGfw","DK.HS.BA","151","DK012",55.7306346893311,12.3649432507305,46759,"http://www.statoids.com/ydk.html","Statoids (2005)"
"ee421cb5","400",3,"Hovedstaden","Bornholm",,"DNK.1.4_1","ChIJpXIRKfCaVEYRk-nGgDOOT7Q","DK.HS.BO","400","DK014",55.1431941986085,14.9227781295777,43347,"http://www.statoids.com/ydk.html","Statoids (2005)"
"0cf77ba1","153",3,"Hovedstaden","Brøndby",,"DNK.1.5_1","ChIJ87zxB91WUkYR3qDUhbd8vKk","DK.HS.BR","153","DK012",55.6375827789307,12.4059004141025,34513,"http://www.statoids.com/ydk.html","Statoids (2005)"
"hv63evc2","411",3,"Hovedstaden","Christiansø",,"DNK.1.6_1",,"DK.HS.CH","411","DK014",55.3199310302735,15.1883335113526,98,"http://www.statoids.com/ydk.html","Statoids (2005)"
"e594de94","155",3,"Hovedstaden","Dragør",,"DNK.1.7_1","ChIJjdb4F9CqU0YRbWEzwNB-KMA","DK.HS.DR","155","DK011",55.5816669464113,12.63812812074,13156,"http://www.statoids.com/ydk.html","Statoids (2005)"
"8ea3a503","240",3,"Hovedstaden","Egedal",,"DNK.1.8_1","ChIJt1t_hrBcUkYRfFA31Q3zP5A","DK.HS.EG","240","DK013",55.7608089447022,12.2144602699797,39267,"http://www.statoids.com/ydk.html","Statoids (2005)"
"f3d45146","210",3,"Hovedstaden","Fredensborg",,"DNK.1.9_1","ChIJHepDRO84UkYRwcdNu55ILEU","DK.HS.FN","210","DK013",55.9507732391358,12.4428002478063,39187,"http://www.statoids.com/ydk.html","Statoids (2005)"
