"id","id_gov_uk","id_github.oxcgrt.covidpolicytracker","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_gadm","key_google_mobility","key_hasc","key_jhu_csse","key_local","key_nuts","latitude","longitude","population"
"8aa4e9e9","E09000020",,3,"England","Kensington and Chelsea","GBR.1.36.19_1",,"GB.GL.KC",,"E09000020","UKI33",51.496738433838,-0.187168720471412,156864
"0d113ffe","E07000153",,3,"England","Kettering","GBR.1.64.4_1",,"GB.NA.KE",,"E07000153","UKF25",52.4411373138428,-0.759276318760108,102211
"6460fa30","E07000146",,3,"England","King's Lynn and West Norfolk","GBR.1.16.5_1",,"GB.NF.KL",,"E07000146","UKH16",52.7068023681641,0.428360897843407,151245
"57c1cac3","E06000010",,3,"England","Kingston upon Hull, City of","GBR.1.45.1_1",,"GB.KH.KH",,"E06000010","UKE11",53.7631397247315,-0.323556956094188,259126
"fda3d97f","E09000021",,3,"England","Kingston upon Thames","GBR.1.36.20_1",,"GB.GL.KT",,"E09000021","UKI63",51.3762378692627,-0.275887916438816,179142
"32a51705","E08000034",,3,"England","Kirklees","GBR.1.46.1_1",,"GB.KK.KK",,"E08000034","UKE44",53.635425567627,-1.78488279978511,441290
"70f98108","E08000011",,3,"England","Knowsley","GBR.1.47.1_1",,"GB.KN.KN",,"E08000011","UKD71",53.4260940551758,-2.83275971996597,152452
"64aa88c5","E09000022",,3,"England","Lambeth","GBR.1.36.21_1",,"GB.GL.LT",,"E09000022","UKI45",51.4552898406982,-0.112670987287082,321813
"ac5ec815","E07000121",,3,"England","Lancaster","GBR.1.48.5_1",,"GB.LA.LN",,"E07000121","UKD44",54.081527709961,-2.65948761308162,148119
"45a22793","E08000035",,3,"England","Leeds","GBR.1.49.1_1",,"GB.LS.LS",,"E08000035","UKE42",53.8225631713868,-1.50367645821706,798786
"bea26ff6","E06000016",,3,"England","Leicester","GBR.1.50.1_1",,"GB.LC.LC",,"E06000016","UKF21",52.6355304718018,-1.14200974958619,354036
"27fe060a","E07000063",,3,"England","Lewes","GBR.1.32.3_1",,"GB.ES.LE",,"E07000063","UKJ22",50.876392364502,-0.0156513802888575,103525
"13adb853","E09000023",,3,"England","Lewisham","GBR.1.36.22_1",,"GB.GL.LW",,"E09000023","UKI44",51.4504375457764,-0.00798120356955729,305309
"3fc0e551","E07000194",,3,"England","Lichfield","GBR.1.92.3_1",,"GB.ST.LI",,"E07000194","UKG24",52.6932067871095,-1.80569890572421,105637
"cc9941f0","E07000138",,3,"England","Lincoln","GBR.1.52.3_1",,"GB.LI.LC",,"E07000138","UKF30",53.2243480682373,-0.56480824637284,100049
"e9f0d0b2","E08000012",,3,"England","Liverpool","GBR.1.82.1_1",,"GB.LV.LV",,"E08000012","UKD72",53.4044170379639,-2.92728620427654,500474
"8bf9c96d","E06000032",,3,"England","Luton","GBR.1.53.1_1",,"GB.LU.LU",,"E06000032","UKH21",51.8977794647218,-0.432965806040209,213528
"f074ab40","E07000110",,3,"England","Maidstone","GBR.1.44.6_1",,"GB.KE.MA",,"E07000110","UKJ45",51.2299671173096,0.574035702480268,173132
"a081a2e8","E07000074",,3,"England","Maldon","GBR.1.33.9_1",,"GB.EX.MA",,"E07000074","UKH36",51.7136096954346,0.868611007928934,65401
"b06e8314","E07000235",,3,"England","Malvern Hills","GBR.1.117.2_1",,"GB.WC.MH",,"E07000235","UKG12",52.1590805053711,-2.31703912638685,79445
"87ecd165","E08000003",,3,"England","Manchester","GBR.1.54.1_1",,"GB.MN.MN",,"E08000003","UKD33",53.4575309753419,-2.22478829665884,555741
"a143c8df","E07000174",,3,"England","Mansfield","GBR.1.67.5_1",,"GB.NT.MA",,"E07000174","UKF15",53.1738300323487,-1.18581437541083,109351
"159d5cce","E06000035",,3,"England","Medway","GBR.1.55.1_1",,"GB.MW.MW",,"E06000035","UKJ41",51.4066677093506,0.512443991348067,279142
"5b4b9878","E07000133",,3,"England","Melton","GBR.1.51.5_1",,"GB.LE.ME",,"E07000133","UKF22",52.8021278381348,-0.868372665233701,51394
"bfd285aa","E07000187",,3,"England","Mendip","GBR.1.87.1_1",,"GB.SM.ME",,"E07000187","UKK23",51.1948528289796,-2.52872132311591,116288
"8dc92df0","E09000024",,3,"England","Merton","GBR.1.36.24_1",,"GB.GL.ME",,"E09000024","UKI63",51.4084625244141,-0.183232556548488,206453
"62cf541e","E07000042",,3,"England","Mid Devon","GBR.1.26.3_1",,"GB.DO.MD",,"E07000042","UKK43",50.8786354064942,-3.58084054501293,83290
"722075e2","E07000203",,3,"England","Mid Suffolk","GBR.1.96.4_1",,"GB.SF.MS",,"E07000203","UKH14",52.221477508545,1.03811820528157,104857
