"id","id_github.cssegisanddata.covid19unified","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_apple_mobility","key_gadm","key_google_mobility","key_jhu_csse","key_local","latitude","longitude","population","population_data_source_url","population_data_source"
"4d3ceeea","RUSTA",2,"Stavropol Krai",,,"RUS.65_1",,"RUSTA",,44.931877135,43.6887186099913,27860000,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"a109c3ed","RUSVE",2,"Sverdlovsk Oblast",,,"RUS.66_1","ChIJn-H1sfluwUMRQjG8brc3Ipg","RUSVE",,59.02659798,62.2944514838074,4297747,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"05ffe4ca","RUTAM",2,"Tambov Oblast",,,"RUS.67_1",,"RUTAM",,52.67986679,41.654470410736,1091994,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"956af145","RUTA",2,"Tatarstan Republic",,,"RUS.68_1","ChIJ49skDp9SWUERJwGkEydw9L8","RUTA",,55.3730793,50.8450393376303,38850000,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"cea98879","RUTOM",2,"Tomsk Oblast",,,"RUS.69_1",,"RUTOM",,58.349918365,81.5144050544242,1078923,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"229f3a37","RUTUL",2,"Tula Oblast",,,"RUS.70_1",,"RUTUL",,53.881725315,37.4264761624219,1553925,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"973f01a7","RUTVE",2,"Tver Oblast",,,"RUS.72_1",,"RUTVE",,57.21124077,35.2668307969168,1353392,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"d0a5a1cb","RUTYU",2,"Tyumen Oblast",,,"RUS.73_1",,"RUTYU",,57.543605805,67.8288115735819,3395755,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"ff3a1876","RUTY",2,"Tyva Republic",,,"RUS.71_1",,"RUTY",,51.75539589,94.2369411705555,307930,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"2d3d0829","RUUD",2,"Udmurt Republic",,,"RUS.74_1",,"RUUD",,57.20734787,52.7691400221695,1521420,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"a025f962","RUULY",2,"Ulyanovsk Oblast",,,"RUS.75_1",,"RUULY",,53.736118315,47.4122098874715,1292799,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"351365e1","RUVLA",2,"Vladimir Oblast",,,"RUS.76_1",,"RUVLA",,55.954502105,40.7245074499922,1443693,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"a9ffdf3e","RUVGG",2,"Volgograd Oblast",,,"RUS.77_1",,"RUVGG",,49.324949265,44.4594195575058,2610161,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"0bb9681f","RUVLG",2,"Vologda Oblast",,,"RUS.78_1",,"RUVLG",,60.060972215,40.8863955224569,1202444,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"73f72800","RUVOR",2,"Voronezh Oblast",,,"RUS.79_1","ChIJrUNiyEclO0ERAKe6d163Iys","RUVOR",,50.83766556,40.1661673321703,2335380,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"520f4652","RUYAN",2,"Yamalo-Nenets Autonomous Okrug",,,"RUS.80_1",,"RUYAN",,67.53359222,69.3270965760476,522904,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"c0a2332f","RUYAR",2,"Yaroslavl Oblast",,,"RUS.81_1",,"RUYAR",,57.749061585,39.1349432821133,1271000,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"a42cf935","RUZAB",2,"Zabaykalsky Krai",,,"RUS.83_1",,"RUZAB",,53.796100615,118.136489859681,1107107,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
