"id","id_github.covid19datahub.covid19br","id_github.oxcgrt.covidpolicytracker","id_github.wcota.covid19br","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_apple_mobility","key_gadm","key_google_mobility","key_hasc","key_jhu_csse","key_local","latitude","longitude","population","population_data_source","population_data_source_url"
"c5bd71fe",1200807,"BR_AC","1200807",3,"Acre","Porto Acre",,"BRA.1.14_1",,,"BRAC1200807","1200807",-9.639450075,-67.6595291287441,18824,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"1f47e14f",1200393,"BR_AC","1200393",3,"Acre","Porto Walter",,"BRA.1.15_1",,,"BRAC1200393","1200393",-8.51067543,-72.7828300095396,12241,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"25c42daf",1200401,"BR_AC","1200401",3,"Acre","Rio Branco",,"BRA.1.16_1","ChIJG7dkUx9kf5ERtlPdjrhiOsc",,"BRAC1200401","1200401",-9.99341011,-68.1704252200213,413418,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"fe91ea18",1200427,"BR_AC","1200427",3,"Acre","Rodrigues Alves",,"BRA.1.17_1",,,"BRAC1200427","1200427",-7.858785395,-73.3602329786616,19351,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"0984ba75",1200435,"BR_AC","1200435",3,"Acre","Santa Rosa do Purus",,"BRA.1.18_1",,,"BRAC1200435","1200435",-9.51141405,-70.2924205690572,6717,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"5301770e",1200500,"BR_AC","1200500",3,"Acre","Sena Madureira",,"BRA.1.19_1","ChIJ2SQY30txgpERYH6SHSJqc7M",,"BRAC1200500","1200500",-9.863990305,-69.3414161994904,46511,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"2fb4e97c",1200450,"BR_AC","1200450",3,"Acre","Senador Guiomard",,"BRA.1.20_1","ChIJ7zdypLv8f5ERmX8pgWBuucU",,"BRAC1200450","1200450",-9.99121666,-67.3200365387497,23236,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"289b71f3",1200609,"BR_AC","1200609",3,"Acre","Tarauacá",,"BRA.1.21_1","ChIJbzHgTlMim5EROBGjoCshr2g",,"BRAC1200609","1200609",-8.34404659,-71.4871371373252,43151,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"5e5e2b52",1200708,"BR_AC","1200708",3,"Acre","Xapuri",,"BRA.1.22_1",,,"BRAC1200708","1200708",-10.587409975,-68.3108671114016,19596,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"db2335d0",2700102,"BR_AL","2700102",3,"Alagoas","Água Branca",,"BRA.2.1_1",,,"BRAL2700102","2700102",-9.262588505,-37.8887634954069,20230,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"406cda33",2700201,"BR_AL","2700201",3,"Alagoas","Anadia",,"BRA.2.2_1",,,"BRAL2700201","2700201",-9.67019701,-36.3083965639025,17526,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"36a98092",2700300,"BR_AL","2700300",3,"Alagoas","Arapiraca",,"BRA.2.3_1","ChIJWd-3hwvVBQcRJKos4pkPDWA",,"BRAL2700300","2700300",-9.75878096,-36.6423869104066,233047,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
"4a3a2eb3",2700409,"BR_AL","2700409",3,"Alagoas","Atalaia",,"BRA.2.4_1","ChIJFRiaHRDIBgcRGrWG65JUB9U",,"BRAL2700409","2700409",-9.502866745,-36.0841090402088,47365,"Wesley Cota (2020)","https://github.com/wcota/covid19br"
