"id","id_github.minciencia.datoscovid19","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_gadm","key_google_mobility","key_jhu_csse","key_local","latitude","longitude","population"
"b225747a","8310",3,"Biobío","San Rosendo","CHL.6.2.10_1",,"CLBI27","08310",-37.1235752105713,-72.6280989923416,3611
"c52244ec","8311",3,"Biobío","Santa Barbara","CHL.6.2.11.1_0",,"CLBI28","08311",-37.62,-71.75,14592
"d16629f1","8109",3,"Biobío","Santa Juana","CHL.6.3.7_1",,"CLBI29","08109",-37.2014904022217,-72.9082395049374,14779
"b1a1a014","8110",3,"Biobío","Talcahuano","CHL.6.3.8.1_0",,"CLBI30","08110",-36.72,-73.1,158345
"3498baaf","8207",3,"Biobío","Tirua","CHL.6.1.7_1",,"CLBI31","08207",-38.3313903808594,-73.4044597972523,11019
"c6a69082","8111",3,"Biobío","Tome","CHL.6.3.9_1",,"CLBI32","08111",-36.5463886260986,-72.8212863431383,58729
"5c2b1556","8312",3,"Biobío","Tucapel","CHL.6.2.12_1",,"CLBI33","08312",-37.2438507080078,-71.673430763541,15205
"2b2c25c0","8313",3,"Biobío","Yumbel","CHL.6.2.13_1",,"CLBI34","08313",-37.0504703521728,-72.6196940600459,22132
"7b657f57","4103",3,"Coquimbo","Andacollo","CHL.7.2.1_1",,"CLCO01","04103",-30.1285543441773,-70.9722502069787,11791
"0e24f198","4202",3,"Coquimbo","Canela","CHL.7.1.3_1",,"CLCO02","04202",-31.4200000762939,-71.4427075754162,9546
"0fe69baf","4302",3,"Coquimbo","Combarbala","CHL.7.3.1_1",,"CLCO03","04302",-31.1839447021484,-70.9092681939342,13884
"0c624fc1","4102",3,"Coquimbo","Coquimbo","CHL.7.2.2_1",,"CLCO04","04102",-30.2269401550293,-71.2560617065982,256735
"972da022","4201",3,"Coquimbo","Illapel","CHL.7.1.1_1",,"CLCO06","04201",-31.539514541626,-70.9148486942708,32801
"e501eaf4","4104",3,"Coquimbo","La Higuera","CHL.7.2.3_1",,"CLCO07","04104",-29.3659725189209,-70.9287879805647,4450
"956b1e7b","4101",3,"Coquimbo","La Serena","CHL.7.2.4_1",,"CLCO08","04101",-29.771388053894,-71.0688530575446,249656
