"id","country","state","city","lat","lng","pop","pop_14","pop_15_64","pop_65","pop_age","pop_density","pop_death_rate"
"Ellis, Oklahoma, US","US","Oklahoma","Ellis",36.2180194,-99.75324573,3859,NA,NA,NA,NA,NA,NA
"Ellis, Texas, US","US","Texas","Ellis",32.34894117,-96.79371841,184826,NA,NA,NA,NA,NA,NA
"Ellsworth, Kansas, US","US","Kansas","Ellsworth",38.69677695,-98.20462799,6102,NA,NA,NA,NA,NA,NA
"Elmore, Alabama, US","US","Alabama","Elmore",32.59785413,-86.14415284,81209,NA,NA,NA,NA,NA,NA
"Elmore, Idaho, US","US","Idaho","Elmore",43.3507101,-115.4701578,27511,NA,NA,NA,NA,NA,NA
"Emanuel, Georgia, US","US","Georgia","Emanuel",32.59221302,-82.30239915,22646,NA,NA,NA,NA,NA,NA
"Emery, Utah, US","US","Utah","Emery",38.99617072,-110.7013958,10012,NA,NA,NA,NA,NA,NA
"Emmet, Iowa, US","US","Iowa","Emmet",43.37782951,-94.67858943,9208,NA,NA,NA,NA,NA,NA
"Emmet, Michigan, US","US","Michigan","Emmet",45.52625509,-84.89083249,33415,NA,NA,NA,NA,NA,NA
"Emmons, North Dakota, US","US","North Dakota","Emmons",46.28398398,-100.2389766,3241,NA,NA,NA,NA,NA,NA
"Emporia, Virginia, US","US","Virginia","Emporia",36.69455571,-77.53406129,5346,NA,NA,NA,NA,NA,NA
"Erath, Texas, US","US","Texas","Erath",32.23602653,-98.21773417,42698,NA,NA,NA,NA,NA,NA
"Erie, New York, US","US","New York","Erie",42.76249024,-78.73063652,918702,NA,NA,NA,NA,NA,NA
"Erie, Ohio, US","US","Ohio","Erie",41.36796058,-82.62904521,74266,NA,NA,NA,NA,NA,NA
"Erie, Pennsylvania, US","US","Pennsylvania","Erie",41.99253829,-80.03301954,269728,NA,NA,NA,NA,NA,NA
"Escambia, Alabama, US","US","Alabama","Escambia",31.1256789,-87.15918694,36633,NA,NA,NA,NA,NA,NA
"Escambia, Florida, US","US","Florida","Escambia",30.67652764,-87.37284571,318316,NA,NA,NA,NA,NA,NA
"Esmeralda, Nevada, US","US","Nevada","Esmeralda",37.78436681,-117.6319999,873,NA,NA,NA,NA,NA,NA
"Essex, Massachusetts, US","US","Massachusetts","Essex",42.6687626,-70.94687179,789034,NA,NA,NA,NA,NA,NA
